
Log Starting [2014/10/08 18:24:55]
2014/10/08 18:24:55 WRN 78a0 BS stdin_monitor_thread.cpp 84 NLNET::CStdinMonitorThread::run : fgets failed
2014/10/08 18:30:26 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:30:28 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 11 NbDuplicated 0 
2014/10/08 18:30:30 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 11 NbDuplicated 0 
2014/10/08 18:30:32 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 10 NbDuplicated 0 
2014/10/08 18:30:34 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 10 NbDuplicated 0 
2014/10/08 18:30:36 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:30:38 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:30:40 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 12 NbDuplicated 0 
2014/10/08 18:30:42 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:30:44 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:30:46 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:30:49 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 12 NbDuplicated 0 
2014/10/08 18:30:51 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:30:53 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:30:55 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:30:57 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 13 NbDuplicated 0 
2014/10/08 18:30:59 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:31:01 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:03 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:05 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 12 NbDuplicated 0 
2014/10/08 18:31:07 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:31:09 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:11 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:14 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:16 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:31:18 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 12 NbDuplicated 0 
2014/10/08 18:31:20 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:22 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 10 NbDuplicated 0 
2014/10/08 18:31:24 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:26 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 11 NbDuplicated 0 
2014/10/08 18:31:28 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:30 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:32 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:31:34 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 13 NbDuplicated 0 
2014/10/08 18:31:36 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:38 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:41 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:42 INF 4298 0xcc/BS-0 bench_service.cpp 364 CClient::updateFullStat : Full Summary: NbPing 1000 NbPong 1000 NbLost 0 (0.000000pc) NbDuplicated 0 (0.000000pc) MeanPongTime 13 
2014/10/08 18:31:43 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 19 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:45 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 12 NbDuplicated 0 
2014/10/08 18:31:47 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:49 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 13 NbDuplicated 0 
2014/10/08 18:31:51 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:53 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:55 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:31:57 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 13 NbDuplicated 0 
2014/10/08 18:31:59 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 11 NbDuplicated 0 
2014/10/08 18:32:01 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 13 NbDuplicated 0 
2014/10/08 18:32:03 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:32:06 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 13 NbDuplicated 0 
2014/10/08 18:32:08 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:32:10 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 12 NbDuplicated 0 
